index,name,x,y,z
0,lh-unknown,110,101,74
1,lh-bankssts,138,137,81
2,lh-caudalanteriorcingulate,98,72,98
3,lh-caudalmiddlefrontal,124,81,115
4,lh-corpuscallosum,99,94,93
5,lh-cuneus,98,173,96
6,lh-entorhinal,108,104,41
7,lh-fusiform,124,145,48
8,lh-inferiorparietal,132,158,104
9,lh-inferiortemporal,140,128,49
10,lh-isthmuscingulate,99,138,90
11,lh-lateraloccipital,117,181,72
12,lh-lateralorbitofrontal,113,58,60
13,lh-lingual,102,161,58
14,lh-medialorbitofrontal,97,57,56
15,lh-middletemporal,148,120,61
16,lh-parahippocampal,106,125,54
17,lh-paracentral,100,120,129
18,lh-parsopercularis,136,75,87
19,lh-parsorbitalis,131,49,62
20,lh-parstriangularis,133,58,76
21,lh-pericalcarine,102,174,78
22,lh-postcentral,133,117,119
23,lh-posteriorcingulate,101,109,109
24,lh-precentral,129,102,116
25,lh-precuneus,102,149,107
26,lh-rostralanteriorcingulate,99,54,75
27,lh-rostralmiddlefrontal,122,49,90
28,lh-superiorfrontal,103,64,115
29,lh-superiorparietal,115,153,121
30,lh-superiortemporal,142,107,70
31,lh-supramarginal,141,127,105
32,lh-frontalpole,100,25,67
33,lh-temporalpole,119,79,37
34,lh-transversetemporal,134,114,79
35,rh-unknown,68,99,76
36,rh-bankssts,43,130,79
37,rh-caudalanteriorcingulate,85,71,101
38,rh-caudalmiddlefrontal,57,80,115
39,rh-corpuscallosum,81,92,91
40,rh-cuneus,81,172,99
41,rh-entorhinal,75,100,42
42,rh-fusiform,56,145,49
43,rh-inferiorparietal,46,150,104
44,rh-inferiortemporal,40,122,47
45,rh-isthmuscingulate,81,130,92
46,rh-lateraloccipital,60,179,76
47,rh-lateralorbitofrontal,67,59,60
48,rh-lingual,78,158,60
49,rh-medialorbitofrontal,84,56,58
50,rh-middletemporal,33,118,61
51,rh-parahippocampal,74,121,55
52,rh-paracentral,80,119,127
53,rh-parsopercularis,44,76,88
54,rh-parsorbitalis,49,47,63
55,rh-parstriangularis,46,62,80
56,rh-pericalcarine,76,170,80
57,rh-postcentral,47,112,118
58,rh-posteriorcingulate,81,105,112
59,rh-precentral,54,101,117
60,rh-precuneus,77,144,105
61,rh-rostralanteriorcingulate,82,56,76
62,rh-rostralmiddlefrontal,59,47,91
63,rh-superiorfrontal,78,61,113
64,rh-superiorparietal,65,150,123
65,rh-superiortemporal,37,101,68
66,rh-supramarginal,41,122,106
67,rh-frontalpole,83,27,61
68,rh-temporalpole,63,78,38
69,rh-transversetemporal,46,111,80
